Time (s)	Motor Command (V)	Desired Position  (V)	Actual Position (V)
0.003	10.000	2.020	1.970
0.054	10.000	2.020	1.960
0.104	10.000	2.020	1.966
0.154	10.000	2.020	1.947
0.204	10.000	2.020	1.964
0.254	10.000	2.020	1.962
0.305	10.000	2.020	1.965
0.355	10.000	2.020	1.963
0.404	10.000	2.020	1.965
0.454	10.000	2.020	1.966
0.503	10.000	2.020	1.963
0.554	10.000	2.020	1.966
0.604	10.000	2.020	1.967
0.654	10.000	2.020	1.962
0.704	10.000	2.020	1.967
0.755	10.000	2.020	1.969
0.805	10.000	2.020	1.972
0.855	10.000	2.020	1.973
0.905	10.000	2.020	1.978
0.955	10.000	2.020	1.980
1.005	10.000	2.020	1.983
1.055	10.000	2.020	1.989
1.106	10.000	2.020	1.993
1.155	10.000	2.020	1.998
1.205	10.000	2.020	2.000
1.256	10.000	2.020	2.001
1.306	10.000	2.020	2.011
